,SubID,Handedness,Eye_Dominance,Thal,Caud,Puta,Pall,Hipp,Amyg,Accu,Landmark_PSE,Landmark_MS,Target_PSE_Right,Target_PSE_Left,Target_PSE_Laterality,Target_MS,Target_MS_Right_Cue,Target_MS_Left_Cue,Target_MS_Laterality,Right_Correct_pct,Left_Correct_pct,Threshold_Difference,1-THALAMUS,2-AV,4-VA,5-VLa,6-VLP,7-VPL,8-Pul,9-LGN,10-MGN,11-CM,12-MD-Pf,13-Hb,14-MTT
24,1025,100,,0.000111532,0.023055082,-0.031398853,0.007391763,0.008008899,0.048938679,-0.140816327,-0.712273331,-0.24390243902439,2.112182426,16.90225692,,0.181198304,0.120228328,0.256217397,-0.135989069,0.52742616,0.493449782,,-0.003963439,0.104477612,0.047297297,-0.046153846,0.081142857,-0.0472103,-0.0121873,-0.083333333,-0.031055901,-0.126353791,-0.019903912,-0.04,0.102803738
25,1026,100,0.0,-0.02427268,0.018455049,-0.012074278,-0.001626898,-0.054658891,-0.009446694,-0.201413428,-0.326002992,0.0198675496688742,-1.753462668,-1.611523406,-0.141939262,0.103525369,0.262864859,-0.066949494,0.329814353,0.781609195,0.735166425,0.04644277,0.004222973,0.02295082,0.042836041,0.068965517,-0.003191489,0.0,0.035496594,-0.08045977,0.015625,0.012765957,-0.016666667,-0.111111111,-0.047619048
26,1027,75,1.0,-0.00287338,0.023126991,-0.020751304,0.013947847,-0.064864044,0.077399381,-0.167898627,0.077983931,0.3125,0.104709159,0.299026068,,0.029566116,0.133935121,-0.072455467,0.206390588,0.61,0.617056856,,0.008896078,0.014084507,0.028667791,-0.021276596,0.001321004,0.002061856,0.00669344,-0.020746888,0.0,0.043956044,0.064204046,0.019607843,-0.111111111
27,1028,75,1.0,-0.027858581,-0.000807289,-0.01740552,0.001087548,0.014046659,-0.034233048,-0.10021322,,,1.272892543,15.0172933,,0.529267818,0.467397925,0.584695218,-0.117297293,0.487895717,0.463898917,,0.006486395,-0.010830325,0.043165468,-0.033557047,-0.033290653,0.004694836,0.004900359,-0.055555556,0.012987013,0.026548673,0.043109541,-0.071428571,-0.093023256
28,1029,100,1.0,-0.002219084,-0.006281078,-0.004992604,0.023170732,-0.022556391,-0.065720687,-0.129196338,-0.218844585,0.139784946236559,-0.938893211,-0.913163168,-0.025730043,0.16287816,0.307998913,0.017558845,0.290440068,0.654941374,0.662139219,-0.007197845,0.019682419,-0.007575758,0.054613936,0.006711409,-0.006501951,0.0,0.029845108,0.094736842,-0.031746032,-0.071428571,0.04716227,-0.043478261,-0.032258065
29,1030,70,1.0,-0.009526299,0.024780992,-0.007603037,-0.00083967,0.015049669,0.095186822,-0.037766803,0.462786099,-0.382456140350877,-1.569991687,-1.468544111,-0.101447576,-0.111647811,0.069113254,-0.209651987,0.278765241,0.787446505,0.755304102,0.032142403,0.008656938,-0.127272727,0.006688963,0.029585799,0.00976801,-0.001540832,-0.004294681,0.058823529,0.051948052,-0.026548673,0.004143646,0.047619048,0.103448276
30,1031,100,1.0,-0.01504396,0.024730154,-0.00680743,0.006195787,0.05255102,-0.074786325,-0.129756098,-0.743676835,-0.336633663366337,1.277354926,15.8287226,,-0.311278939,-0.324302912,-0.297669517,-0.026633395,0.505376344,0.544,,0.008837255,0.030567686,0.020257827,-0.058064516,0.003508772,0.031712474,0.003598561,0.029126214,0.0,0.027932961,0.048101266,-0.219512195,0.048780488
31,1032,100,0.0,-0.00287338,0.023126991,-0.020751304,0.013947847,-0.064864044,0.077399381,-0.167898627,-0.206886788,0.646408839779006,-1.284660536,-0.257954307,,0.416089126,0.526055316,0.315822306,0.21023301,0.63028169,0.57400722,,0.009500707,-0.014388489,0.032040472,-0.015873016,0.000659196,-0.010438413,0.010190518,-0.008264463,-0.033333333,0.027322404,0.067722076,0.019607843,-0.076923077
32,1033,100,1.0,-0.013900672,0.011397878,-0.003280076,-0.008149713,-0.045499646,0.079717457,-0.059777102,-0.273292862,0.0432900432900433,-0.849319413,-0.859678505,0.010359092,0.138901121,0.113591036,0.163145184,-0.049554148,0.694394213,0.709122203,-0.01472799,0.004788083,0.134920635,0.024561404,0.0,-0.028504945,0.016697588,0.020833333,0.048543689,0.062068966,0.029126214,-0.026234568,-0.096774194,0.01369863
33,1034,95,1.0,-0.003117207,0.039170858,0.004827808,-0.004900548,0.051595007,0.140895954,-0.097826087,0.171383333,0.0064516129032258,0.569016755,89321814.01,,0.008453026,0.242305502,-0.213504402,0.455809904,0.604105572,0.592753623,,0.010923726,-0.193181818,0.014869888,-0.016574586,-0.016971279,0.034035656,0.049884881,0.121212121,0.081481481,0.039647577,0.043261231,-0.073170732,-0.078947368
